PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Fare_Clean,Survived_Label
1,1,3,female,26.9,1,0,4.0,S,4.0,Survived
2,0,3,male,29.6,0,0,4.0,Q,4.0,Did not survive
3,1,1,female,27.5,0,1,78.38,S,78.38,Survived
4,1,3,female,33.1,2,0,21.31,C,21.31,Survived
5,0,1,male,51.6,1,0,97.67,Q,97.67,Did not survive
6,1,3,female,32.4,0,1,4.0,S,4.0,Survived
7,1,2,female,27.7,0,0,12.19,S,12.19,Survived
8,1,3,female,33.5,0,0,19.52,C,19.52,Survived
9,0,3,male,35.1,0,1,25.58,S,25.58,Did not survive
10,0,3,male,25.8,0,0,16.61,S,16.61,Did not survive
11,0,1,male,6.4,0,0,124.01,S,113.62875,Did not survive
12,1,3,female,35.6,2,0,6.75,S,6.75,Survived
13,1,1,female,55.2,2,0,80.41,S,80.41,Survived
14,1,1,female,9.5,1,0,97.21,Q,97.21,Survived
15,0,3,male,43.1,3,0,5.89,S,5.89,Did not survive
16,0,2,male,26.4,1,0,18.72,S,18.72,Did not survive
17,0,3,male,30.1,1,0,25.5,S,25.5,Did not survive
18,0,3,male,16.3,1,0,20.95,S,20.95,Did not survive
19,1,2,female,26.3,0,0,32.63,Q,32.63,Survived
20,0,3,male,49.2,0,0,18.99,S,18.99,Did not survive
21,1,2,female,39.2,0,1,8.14,Q,8.14,Survived
22,0,3,male,55.3,0,0,16.1,C,16.1,Did not survive
23,1,2,female,47.5,0,0,14.66,S,14.66,Survived
24,1,3,female,37.1,0,0,17.45,S,17.45,Survived
25,1,1,female,55.4,0,0,29.37,C,29.37,Survived
26,0,1,male,37.1,0,0,12.45,S,12.45,Did not survive
27,0,2,male,42.6,0,0,16.93,S,16.93,Did not survive
28,0,3,male,26.8,1,0,4.0,Q,4.0,Did not survive
29,0,3,male,32.4,1,1,13.59,S,13.59,Did not survive
30,1,3,female,21.2,0,1,9.11,S,9.11,Survived
31,1,3,female,44.9,0,0,4.04,S,4.04,Survived
32,1,3,female,14.5,0,0,24.77,S,24.77,Survived
33,0,3,male,42.0,1,0,25.1,Q,25.1,Did not survive
34,0,2,male,28.3,1,0,25.32,S,25.32,Did not survive
35,0,3,male,47.4,0,0,14.79,S,14.79,Did not survive
36,0,3,male,41.5,1,1,22.45,S,22.45,Did not survive
37,0,2,male,56.5,0,0,29.71,Q,29.71,Did not survive
38,0,1,male,41.2,0,1,73.13,S,73.13,Did not survive
39,0,3,male,9.0,3,0,5.35,C,5.35,Did not survive
40,1,2,female,30.1,0,2,38.63,S,38.63,Survived
41,0,3,male,14.6,0,0,13.42,C,13.42,Did not survive
42,1,2,female,23.7,0,0,4.0,Q,4.0,Survived
43,1,1,female,52.2,0,0,92.81,C,92.81,Survived
44,0,3,male,39.9,2,2,12.44,Q,12.44,Did not survive
45,1,1,female,21.2,3,0,88.2,S,88.2,Survived
46,1,1,female,16.8,0,1,105.33,C,105.33,Survived
47,0,3,male,31.5,0,0,13.08,S,13.08,Did not survive
48,0,3,male,14.0,1,2,14.74,S,14.74,Did not survive
49,1,1,female,21.6,0,0,57.72,C,57.72,Survived
50,0,2,male,35.4,2,0,13.87,Q,13.87,Did not survive
51,0,3,male,47.2,0,2,5.42,S,5.42,Did not survive
52,0,3,male,39.5,0,0,11.94,S,11.94,Did not survive
53,1,3,female,1.0,1,0,7.78,S,7.78,Survived
54,1,1,female,35.3,0,0,97.83,S,97.83,Survived
55,1,1,female,32.0,0,0,74.98,S,74.98,Survived
56,1,1,female,36.8,0,0,100.89,S,100.89,Survived
57,0,1,male,53.6,0,0,74.2,S,74.2,Did not survive
58,0,3,male,2.1,1,0,12.14,S,12.14,Did not survive
59,0,1,male,22.7,0,1,20.9,C,20.9,Did not survive
60,0,3,male,39.3,3,0,20.41,S,20.41,Did not survive
61,1,3,female,8.9,3,0,20.18,Q,20.18,Survived
62,0,3,male,51.7,0,0,13.27,S,13.27,Did not survive
63,0,1,male,36.2,0,0,132.74,S,113.62875,Did not survive
64,1,3,female,42.9,1,0,5.41,S,5.41,Survived
65,0,3,male,23.0,3,1,15.41,S,15.41,Did not survive
66,0,3,male,42.4,0,1,15.65,Q,15.65,Did not survive
67,0,1,male,46.0,0,0,4.0,S,4.0,Did not survive
68,0,1,male,34.3,0,0,65.98,S,65.98,Did not survive
69,0,3,male,34.3,0,0,12.07,Q,12.07,Did not survive
70,0,2,male,34.8,0,0,26.77,Q,26.77,Did not survive
71,0,2,male,18.9,0,0,37.13,S,37.13,Did not survive
72,0,3,male,28.9,1,0,14.52,S,14.52,Did not survive
73,1,3,female,28.9,1,0,11.59,S,11.59,Survived
74,0,3,male,36.4,1,0,8.95,S,8.95,Did not survive
75,0,2,male,45.0,0,0,15.98,S,15.98,Did not survive
76,0,3,male,16.2,0,0,9.47,S,9.47,Did not survive
77,0,1,male,29.2,1,0,112.68,Q,112.68,Did not survive
78,1,3,female,32.4,1,0,15.18,S,15.18,Survived
79,0,3,male,20.6,0,0,10.19,S,10.19,Did not survive
80,1,1,female,19.5,2,0,60.91,S,60.91,Survived
81,1,1,female,33.8,0,0,116.42,C,113.62875,Survived
82,0,2,male,42.8,1,0,4.0,S,4.0,Did not survive
83,1,3,female,31.2,0,0,9.63,C,9.63,Survived
84,0,3,male,49.6,0,0,23.06,Q,23.06,Did not survive
85,0,3,male,43.0,0,1,4.87,S,4.87,Did not survive
86,0,3,male,42.8,0,1,4.0,S,4.0,Did not survive
87,1,3,female,38.8,0,0,4.0,S,4.0,Survived
88,0,3,male,63.6,0,0,13.2,S,13.2,Did not survive
89,0,1,male,28.1,0,0,135.93,Q,113.62875,Did not survive
90,0,1,male,3.0,1,2,89.6,S,89.6,Did not survive
91,0,3,male,53.5,0,0,21.5,C,21.5,Did not survive
92,1,3,female,24.6,0,1,4.0,S,4.0,Survived
93,0,1,male,32.5,1,0,72.34,S,72.34,Did not survive
94,0,3,male,49.3,0,0,23.93,S,23.93,Did not survive
95,0,3,male,8.6,0,0,5.11,S,5.11,Did not survive
96,0,3,male,13.5,1,0,10.34,S,10.34,Did not survive
97,0,3,male,8.6,1,0,7.73,S,7.73,Did not survive
98,0,2,male,19.9,0,0,20.21,S,20.21,Did not survive
99,0,2,male,37.2,1,0,32.91,C,32.91,Did not survive
100,1,2,female,38.3,0,1,39.98,S,39.98,Survived
101,1,3,female,34.9,0,0,25.86,Q,25.86,Survived
102,1,3,female,11.2,1,0,10.65,S,10.65,Survived
103,0,3,male,1.0,0,0,26.34,S,26.34,Did not survive
104,1,2,female,31.8,1,1,22.54,S,22.54,Survived
105,1,1,female,24.4,0,0,93.67,S,93.67,Survived
106,1,3,female,37.4,1,1,12.35,S,12.35,Survived
107,0,3,male,40.8,0,0,13.92,S,13.92,Did not survive
108,0,1,male,32.9,0,0,79.43,Q,79.43,Did not survive
109,0,1,male,41.6,0,0,92.12,S,92.12,Did not survive
110,1,3,female,34.2,0,0,18.96,S,18.96,Survived
111,0,1,male,38.4,1,1,109.74,S,109.74,Did not survive
112,0,3,male,21.1,0,0,19.78,S,19.78,Did not survive
113,0,2,male,32.4,0,0,36.13,S,36.13,Did not survive
114,1,1,male,33.8,0,2,104.48,S,104.48,Survived
115,0,3,male,42.5,0,2,19.36,S,19.36,Did not survive
116,1,1,female,25.5,1,1,156.23,S,113.62875,Survived
117,1,2,female,38.3,0,0,35.49,Q,35.49,Survived
118,1,1,female,27.3,3,0,74.25,S,74.25,Survived
119,0,1,male,29.4,0,1,58.63,C,58.63,Did not survive
120,0,1,male,42.6,0,0,48.87,S,48.87,Did not survive
121,0,1,male,3.1,0,0,41.44,S,41.44,Did not survive
122,1,1,female,12.8,0,1,53.89,C,53.89,Survived
123,0,1,male,10.2,1,0,82.53,S,82.53,Did not survive
124,0,3,male,1.0,3,0,4.0,C,4.0,Did not survive
125,0,3,male,21.5,1,2,12.59,S,12.59,Did not survive
126,0,2,male,41.5,0,0,24.88,S,24.88,Did not survive
127,0,2,male,27.0,0,0,22.89,C,22.89,Did not survive
128,0,3,male,33.8,0,0,18.82,S,18.82,Did not survive
129,0,3,male,46.2,0,0,4.0,S,4.0,Did not survive
130,0,3,male,49.6,1,0,10.15,S,10.15,Did not survive
131,0,1,male,30.0,0,1,104.19,S,104.19,Did not survive
132,1,1,female,50.0,0,1,91.58,Q,91.58,Survived
133,0,1,male,32.3,1,0,34.32,S,34.32,Did not survive
134,0,2,male,19.3,1,0,36.28,S,36.28,Did not survive
135,0,3,male,22.7,0,1,18.07,C,18.07,Did not survive
136,0,2,male,10.3,0,0,10.03,S,10.03,Did not survive
137,1,1,female,18.6,0,0,91.64,C,91.64,Survived
138,0,2,male,26.0,0,0,39.61,S,39.61,Did not survive
139,1,3,female,42.3,0,0,12.91,S,12.91,Survived
140,0,1,male,55.1,0,0,128.68,C,113.62875,Did not survive
141,0,3,male,11.6,1,0,12.28,S,12.28,Did not survive
142,0,1,male,36.5,1,0,97.72,S,97.72,Did not survive
143,1,3,female,16.4,0,0,14.58,S,14.58,Survived
144,0,1,male,37.6,0,0,512.0,C,113.62875,Did not survive
145,0,3,male,29.2,0,0,5.22,C,5.22,Did not survive
146,0,3,male,5.4,0,0,4.8,S,4.8,Did not survive
147,0,3,male,44.0,0,0,5.35,S,5.35,Did not survive
148,0,3,male,22.5,0,0,15.02,Q,15.02,Did not survive
149,0,3,male,23.5,0,0,21.71,S,21.71,Did not survive
